id,target
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,0
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,0
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,1
444,0
445,0
446,0
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,0
500,0
501,1
502,1
503,0
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,1
570,0
571,1
572,0
573,1
574,1
575,1
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,1
603,0
604,0
605,0
606,1
607,0
608,1
609,1
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,0
626,0
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,1
655,1
656,0
657,1
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,0
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,0
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,0
741,0
742,0
743,1
744,0
745,0
746,0
747,1
748,0
749,0
750,1
751,1
752,0
753,1
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,1
781,0
782,0
783,1
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,0
809,1
810,0
811,0
812,0
